TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2019,3,14,21,14,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Other Theft,2019,3,15,10,14,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Mischief,2019,4,5,18,0,10XX W 29TH AVE,Shaughnessy,490707.63,5454740.1
Other Theft,2019,3,25,19,16,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Theft from Vehicle,2019,5,20,10,50,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.37
Other Theft,2019,4,2,12,37,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Other Theft,2019,4,12,10,53,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,9,17,50,KNIGHT ST / E 53RD AVE,Sunset,494358,5452115
Theft of Bicycle,2019,1,20,0,0,9XX E BROADWAY AVE,Mount Pleasant,493852.05,5456630.64
Other Theft,2019,4,12,15,38,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Other Theft,2019,4,12,19,30,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Mischief,2019,4,2,5,50,10XX W 51ST AVE,Oakridge,490649.63,5452449.15
Theft from Vehicle,2019,4,7,13,30,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.37
Theft from Vehicle,2019,3,6,8,0,7XX W 7TH AVE,Fairview,491246.23,5456934.41
Other Theft,2019,4,23,15,16,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Mischief,2019,3,10,15,44,ABBOTT ST / W CORDOVA ST,Central Business District,492233.16,5458913.79
Other Theft,2019,5,9,15,58,23XX CAMBIE ST,Fairview,491637.18,5456824.72
Theft from Vehicle,2019,4,9,4,53,7XX W 7TH AVE,Fairview,491246.23,5456934.41
Mischief,2019,3,4,8,24,6XX E BROADWAY AVE,Mount Pleasant,493467.96,5456634.94
Theft from Vehicle,2019,2,17,17,0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.37
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,18,14,22,KNIGHT ST / E 45TH AVE,Sunset,494383,5452916
Mischief,2019,7,2,10,50,10XX W 8TH AVE,Fairview,490651.3,5456846.83
Theft of Vehicle,2019,7,17,11,25,45XX MAIN ST,Riley Park,492618.62,5454541.45
Theft from Vehicle,2019,2,13,14,0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.37
Theft from Vehicle,2019,6,29,23,0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft of Bicycle,2019,4,30,11,45,26XX E BROADWAY AVE,Renfrew-Collingwood,496207.02,5456579.2
Mischief,2019,2,13,10,18,ABBOTT ST / W CORDOVA ST,Central Business District,492233.16,5458913.79
Theft from Vehicle,2019,6,22,21,15,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2019,6,20,20,8,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2019,5,18,19,0,49XX CHATHAM ST,Renfrew-Collingwood,497114.89,5454153.22
Theft from Vehicle,2019,5,26,15,0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Mischief,2019,3,15,17,0,10XX W BROADWAY AVE,Fairview,490732.45,5456742.66
Other Theft,2019,5,30,19,11,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Vehicle Collision or Pedestrian Struck (with Injury),2019,5,15,15,48,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797,5458712
Theft of Bicycle,2019,6,16,19,30,26XX E 49TH AVE,Victoria-Fraserview,496041.18,5452452.48
Break and Enter Commercial,2019,5,21,5,37,4XX HOWE ST,Central Business District,491590.22,5459198.65
Break and Enter Commercial,2019,5,9,3,32,4XX HOWE ST,Central Business District,491590.22,5459198.65
Break and Enter Commercial,2019,4,14,15,13,4XX HOWE ST,Central Business District,491590.22,5459198.65
Break and Enter Commercial,2019,4,12,1,13,4XX HOWE ST,Central Business District,491590.22,5459198.65
Theft from Vehicle,2019,2,11,21,0,21XX E 13TH AVE,Kensington-Cedar Cottage,495484.48,5456202.25
Break and Enter Commercial,2019,3,25,3,5,4XX HOWE ST,Central Business District,491590.22,5459198.65
Theft of Bicycle,2019,6,9,19,56,26XX E 2ND AVE,Hastings-Sunrise,496391.91,5457307.91
Vehicle Collision or Pedestrian Struck (with Injury),2019,4,2,13,13,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797,5458712
Theft from Vehicle,2019,7,2,23,0,21XX DUNDAS ST,Grandview-Woodland,495565.71,5459122.93
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,3,2,3,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797,5458712
Theft from Vehicle,2019,7,1,9,22,32XX COLUMBIA ST,Riley Park,492012.46,5455985.09
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,27,10,59,RENFREW ST / CHARLES ST,Hastings-Sunrise,496787,5457834
Theft from Vehicle,2019,7,2,18,0,21XX DUNDAS ST,Grandview-Woodland,495565.71,5459122.93
Mischief,2019,1,28,14,40,10XX W CORDOVA ST,Central Business District,491420.45,5459497.86
Theft from Vehicle,2019,3,8,22,30,21XX DUNDAS ST,Grandview-Woodland,495565.71,5459122.93
Theft from Vehicle,2019,5,28,16,0,36XX ST GEORGE ST,Riley Park,493169.87,5455570.24
Other Theft,2019,5,31,16,15,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Theft from Vehicle,2019,1,9,20,0,21XX DUNDAS ST,Grandview-Woodland,495565.71,5459122.93
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,4,9,25,RENFREW ST / BOYD DVRS,Renfrew-Collingwood,496803,5455277
Theft from Vehicle,2019,3,12,20,30,21XX DUNBAR ST,Kitsilano,486641.55,5457195.46
Vehicle Collision or Pedestrian Struck (with Injury),2019,5,24,17,15,RENFREW ST / ADANAC ST,Hastings-Sunrise,496791,5458301
Offence Against a Person,2019,2,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,3,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,3,29,10,21,11XX FORGE WALK,Fairview,490550.56,5457181.26
Theft from Vehicle,2019,6,23,3,0,8XX W HASTINGS ST,Central Business District,491621.7,5459272.25
Vehicle Collision or Pedestrian Struck (with Injury),2019,5,2,18,0,PRINCE EDWARD ST / E 57TH AVE,Sunset,492882,5451738
Theft of Vehicle,2019,5,28,12,0,17XX ROBSON ST,West End,490168.51,5459855.1
Offence Against a Person,2019,3,9,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,5,12,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,2,25,17,23,ABBOTT ST / W CORDOVA ST,Central Business District,492233.16,5458913.79
Theft from Vehicle,2019,5,11,20,0,7XX W 7TH AVE,Fairview,491278.95,5456924.71
Mischief,2019,4,2,15,0,6XX E 8TH AVE,Mount Pleasant,493433.92,5456740.06
Theft from Vehicle,2019,2,26,18,0,10XX HOWE ST,Central Business District,490978.18,5458573.39
Theft from Vehicle,2019,3,1,23,0,10XX HOWE ST,Central Business District,490978.18,5458573.39
Break and Enter Residential/Other,2019,6,26,9,46,11XX E HASTINGS ST,Strathcona,494225.58,5458699.46
Theft from Vehicle,2019,7,10,18,0,2XX PRIOR ST,Strathcona,492743.67,5458222.53
Offence Against a Person,2019,3,13,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,5,3,0,0,37XX W 29TH AVE,Dunbar-Southlands,486396.88,5454843.06
Theft from Vehicle,2019,3,31,7,43,10XX HOWE ST,Central Business District,490978.18,5458573.39
Theft from Vehicle,2019,6,6,11,59,21XX COLUMBIA ST,Mount Pleasant,492032.5,5457074.79
Theft of Bicycle,2019,5,6,1,0,7XX GRANVILLE ST,Central Business District,491394.12,5458844.26
Theft from Vehicle,2019,5,13,22,0,61XX CHESTER ST,Sunset,493502.18,5452868.31
Theft from Vehicle,2019,6,3,17,0,21XX COLUMBIA ST,Mount Pleasant,492032.5,5457074.79
Theft from Vehicle,2019,7,11,4,39,61XX CEDARHURST ST,Kerrisdale,487511.66,5453111.04
Theft from Vehicle,2019,4,7,3,0,10XX HOWE ST,Central Business District,490978.18,5458573.39
Theft from Vehicle,2019,4,26,19,0,21XX COLLINGWOOD ST,Kitsilano,486771.73,5457151.76
Theft from Vehicle,2019,1,22,20,0,21XX CHARLES ST,Grandview-Woodland,495571.19,5457806.39
Theft from Vehicle,2019,1,22,21,0,32XX E 16TH AVE,Renfrew-Collingwood,497344.24,5455863.31
Theft from Vehicle,2019,5,8,14,30,10XX JERVIS ST,West End,490412.21,5459133.68
Theft from Vehicle,2019,5,9,20,0,10XX JERVIS ST,West End,490422.51,5459131.02
Theft of Bicycle,2019,5,6,13,3,26XX ARBUTUS ST,Kitsilano,488872.91,5456607.34
Theft from Vehicle,2019,4,9,12,24,21XX CAMBIE ST,Mount Pleasant,491665.36,5457107.89
Offence Against a Person,2019,5,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,6,5,10,46,ABBOTT ST / KEEFER PL,Central Business District,492171.88,5458556.19
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,14,8,28,KINGSWAY AVE / SIDNEY ST,Kensington-Cedar Cottage,495358,5454638
Vehicle Collision or Pedestrian Struck (with Injury),2019,4,30,19,54,POWELL ST / CLARK DR,Strathcona,494385,5458925
Theft from Vehicle,2019,7,16,17,0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Theft from Vehicle,2019,6,25,20,20,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Theft from Vehicle,2019,6,24,23,0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Theft from Vehicle,2019,6,24,21,0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Offence Against a Person,2019,6,2,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,7,17,17,0,25XX KINGSWAY AVE,Renfrew-Collingwood,496105.46,5454115.38
Theft of Vehicle,2019,3,17,0,30,45XX VICTORIA DR,Kensington-Cedar Cottage,495247.47,5454582.43
Theft from Vehicle,2019,4,5,22,0,49XX ELGIN ST,Kensington-Cedar Cottage,493928.4,5454166.36
Theft from Vehicle,2019,6,24,18,0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Theft from Vehicle,2019,6,8,12,0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77
Theft from Vehicle,2019,3,5,21,30,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493928.9,5455669.32
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,7,18,14,PINE ST / W 10TH AVE,Fairview,489561,5456671
Offence Against a Person,2019,3,31,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,2,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,6,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,4,13,16,30,61XX CAMBIE ST,Oakridge,491540.9,5452909.85
Break and Enter Commercial,2019,6,2,22,49,4XX GRANVILLE ST,Central Business District,491686.84,5459139.1
Break and Enter Residential/Other,2019,2,26,1,30,25XX KITCHENER ST,Hastings-Sunrise,496198.82,5457732.18
Theft from Vehicle,2019,1,22,4,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494016.13,5455595.59
Offence Against a Person,2019,3,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,3,18,15,0,32XX E 1ST AVE,Hastings-Sunrise,497361.34,5457424.87
Mischief,2019,1,27,18,0,6XX E 65TH AVE,Sunset,493283.26,5451003.55
Mischief,2019,5,11,23,0,6XX E 65TH AVE,Sunset,493213.34,5451004.47
Theft of Vehicle,2019,3,29,12,0,17XX VENABLES ST,Grandview-Woodland,494948.16,5458208.83
Theft from Vehicle,2019,3,29,17,0,10XX LAGOON DR,Stanley Park,489610.07,5460042.66
Other Theft,2019,3,14,14,54,9XX TERMINAL AVE,Strathcona,493902.91,5457453.33
Theft from Vehicle,2019,4,27,15,0,21XX ALMA ST,Kitsilano,486492.83,5457233.15
Theft from Vehicle,2019,4,8,1,20,21XX ALMA ST,West Point Grey,486483.26,5457218.74
Theft from Vehicle,2019,5,3,1,0,21XX ALMA ST,West Point Grey,486483.2,5457216.57
Theft from Vehicle,2019,4,8,8,33,21XX ALMA ST,West Point Grey,486483.2,5457216.57
Theft from Vehicle,2019,3,26,11,40,10XX MAIN ST,Strathcona,492743.2,5458088.01
Mischief,2019,5,12,23,50,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Theft of Bicycle,2019,6,23,13,58,5XX BURRARD ST,Central Business District,491374.33,5459261.11
Theft from Vehicle,2019,5,20,18,0,2XX ALVIN NAROD MEWS,Central Business District,491275.55,5457981.35
Break and Enter Residential/Other,2019,7,13,10,51,37XX W BROADWAY AVE,West Point Grey,486448.32,5456857.42
Theft from Vehicle,2019,1,18,22,0,21XX ADANAC ST,Grandview-Woodland,495577.73,5458300.66
Theft from Vehicle,2019,4,8,8,1,21XX ADANAC ST,Grandview-Woodland,495529.25,5458301.16
Theft from Vehicle,2019,6,20,23,0,21XX ADANAC ST,Grandview-Woodland,495521.17,5458301.24
Mischief,2019,5,16,9,10,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Theft from Vehicle,2019,4,3,7,13,21XX ADANAC ST,Grandview-Woodland,495521.17,5458301.24
Theft from Vehicle,2019,4,21,22,0,35XX MARSHALL ST,Kensington-Cedar Cottage,495485.06,5455583.23
Mischief,2019,4,5,18,3,ABBOTT ST / KEEFER PL,Central Business District,492171.88,5458556.19
Theft of Bicycle,2019,1,25,12,0,26XX ADANAC ST,Hastings-Sunrise,496225.89,5458307.64
Mischief,2019,1,31,18,0,ABBOTT ST / KEEFER PL,Central Business District,492171.88,5458556.19
Theft from Vehicle,2019,1,19,21,0,21XX ADANAC ST,Grandview-Woodland,495513.09,5458301.33
Offence Against a Person,2019,5,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,19,18,30,21XX ADANAC ST,Grandview-Woodland,495513.09,5458301.33
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,13,17,57,KINGSWAY AVE / E 15TH AVE,Mount Pleasant,493366,5456062
Theft from Vehicle,2019,4,8,23,37,20XX YORK AVE,Kitsilano,489061.93,5457656.83
Mischief,2019,5,28,5,54,10XX W GEORGIA ST,Central Business District,491115.75,5459163.18
Offence Against a Person,2019,3,8,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,1,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,6,18,23,0,6XX PACIFIC BLVD,Central Business District,492165.93,5458264.56
Theft from Vehicle,2019,6,25,23,30,61XX BRUCE ST,Victoria-Fraserview,494920.38,5452798.77
Theft from Vehicle,2019,6,3,7,37,34XX PORTER ST,Kensington-Cedar Cottage,495186.17,5455757.25
Theft of Bicycle,2019,5,4,17,0,9XX E HASTINGS ST,Strathcona,493837.4,5458697.54
Theft from Vehicle,2019,6,7,15,30,10XX MAINLAND ST,Central Business District,491260.99,5458119.8
Mischief,2019,6,27,22,30,10XX W GEORGIA ST,West End,491185.55,5459081.17
Break and Enter Residential/Other,2019,5,9,19,35,38XX HUDSON ST,Shaughnessy,490227.23,5455357.98
Other Theft,2019,6,1,17,55,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Mischief,2019,3,22,21,0,10XX W HASTINGS ST,Central Business District,491359.09,5459440.16
Break and Enter Residential/Other,2019,5,2,4,49,11XX E BROADWAY AVE,Mount Pleasant,494129.27,5456626.89
Theft from Vehicle,2019,2,17,17,0,20XX YORK AVE,Kitsilano,488973.83,5457668.26
Theft from Vehicle,2019,1,30,21,0,20XX YORK AVE,Kitsilano,488973.83,5457668.26
Mischief,2019,2,23,22,55,6XX E 56TH AVE,Sunset,493363.46,5451814.32
Other Theft,2019,6,19,7,2,10XX HOWE ST,Central Business District,490867.56,5458473.41
Theft of Bicycle,2019,6,11,21,30,SASAMAT ST / W 10TH AVE,West Point Grey,484785.35,5456806.89
Theft from Vehicle,2019,2,10,21,40,10XX MAINLAND ST,Central Business District,491324.54,5458185.7
Theft from Vehicle,2019,5,6,13,30,6XX DENMAN ST,Central Business District,490324.3,5460037.41
Mischief,2019,5,7,11,0,10XX W HASTINGS ST,Central Business District,491385.9,5459438.59
Theft of Bicycle,2019,4,28,0,0,SE MARINE DR / VICTORIA DR,Victoria-Fraserview,495184.63,5450763.37
Theft from Vehicle,2019,6,13,17,0,10XX MAINLAND ST,Central Business District,491343.94,5458205.82
Theft from Vehicle,2019,4,16,11,30,10XX MAINLAND ST,Central Business District,491346.2,5458208.16
Offence Against a Person,2019,4,1,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,2,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,3,14,10,0,61XX BOUNDARY RD,Killarney,498283.32,5452846.51
Other Theft,2019,6,1,19,0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Other Theft,2019,6,1,19,45,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,26,14,32,KINGSWAY AVE / BATTISON ST,Killarney,497772,5453243
Theft from Vehicle,2019,6,14,22,30,10XX MARINASIDE CRES,Central Business District,491477.7,5457857.5
Vehicle Collision or Pedestrian Struck (with Injury),2019,1,3,18,13,ONTARIO ST / W 69TH AVE,Marpole,492226,5450744
Theft from Vehicle,2019,5,4,13,0,6XX DENMAN ST,Central Business District,490324.3,5460037.41
Mischief,2019,4,9,23,26,9XX WILLIAM ST,Strathcona,494077.79,5457934.34
Theft of Bicycle,2019,4,9,19,55,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2019,5,29,7,46,7XX W 8TH AVE,Fairview,491274.81,5456830.55
Theft from Vehicle,2019,7,9,12,0,7XX W 8TH AVE,Fairview,491274.81,5456830.55
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,20,8,17,ONTARIO ST / W 45TH AVE,Oakridge,492301,5452967
Theft from Vehicle,2019,3,18,15,30,6XX DENMAN ST,Central Business District,490324.3,5460037.41
Theft from Vehicle,2019,5,14,23,0,6XX PACIFIC BLVD,Central Business District,492165.93,5458264.56
Theft from Vehicle,2019,2,22,0,0,10XX MARINASIDE CRES,Central Business District,491545.47,5457835.82
Offence Against a Person,2019,4,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,7,15,23,0,6XX W 8TH AVE,Fairview,491442.34,5456835.23
Offence Against a Person,2019,4,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,6,13,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,22,10,22,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Theft from Vehicle,2019,4,6,18,20,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Theft from Vehicle,2019,4,14,8,15,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Theft from Vehicle,2019,4,30,8,30,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Theft of Vehicle,2019,6,20,20,45,46XX EARLES ST,Renfrew-Collingwood,496761.22,5454381.06
Mischief,2019,1,21,0,31,6XX E 50TH AVE,Sunset,493270.36,5452426.29
Theft from Vehicle,2019,4,30,23,27,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Offence Against a Person,2019,2,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,5,5,12,30,8XX W HASTINGS ST,Central Business District,491624.11,5459282.78
Theft from Vehicle,2019,1,27,12,0,20XX YORK AVE,Kitsilano,488973.83,5457668.26
Break and Enter Commercial,2019,1,20,17,23,4XX E 44TH AVE,Sunset,493099.39,5453050.41
Offence Against a Person,2019,5,23,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,3,13,22,30,20XX WOODLAND DR,Grandview-Woodland,494653.05,5457126.7
Theft from Vehicle,2019,2,5,10,0,7XX W BROADWAY AVE,Fairview,491170.72,5456739.24
Theft from Vehicle,2019,3,2,13,0,7XX W BROADWAY AVE,Fairview,491170.72,5456739.24
Theft from Vehicle,2019,4,21,23,0,8XX W HASTINGS ST,Central Business District,491638.98,5459267.88
Theft from Vehicle,2019,3,7,18,0,10XX MARINASIDE CRES,Central Business District,491645.51,5457866.47
Theft from Vehicle,2019,1,7,17,42,10XX MELVILLE ST,Central Business District,491265.65,5459162.31
Break and Enter Commercial,2019,5,1,21,0,4XX E 44TH AVE,Sunset,493033.66,5453052.17
Break and Enter Residential/Other,2019,4,7,11,16,38XX KNIGHT ST,Kensington-Cedar Cottage,494478.2,5455292.42
Mischief,2019,4,9,23,6,6XX E 46TH AVE,Sunset,493293.72,5452844.01
Theft from Vehicle,2019,1,22,17,30,10XX MELVILLE ST,Central Business District,491265.65,5459162.31
Offence Against a Person,2019,1,15,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,5,4,11,36,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Theft of Vehicle,2019,2,1,0,0,17XX W 2ND AVE,Fairview,489432.69,5457452.02
Other Theft,2019,4,18,18,0,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Theft from Vehicle,2019,3,3,12,0,10XX NELSON ST,West End,490730.01,5458831.78
Offence Against a Person,2019,5,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,4,13,14,57,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Offence Against a Person,2019,1,26,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,23,23,0,20XX WILLIAM ST,Grandview-Woodland,495378.63,5457887.15
Other Theft,2019,4,8,15,20,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Offence Against a Person,2019,7,5,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,7,2,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,1,2,13,0,38XX OSLER ST,Shaughnessy,490541.74,5455400.94
Other Theft,2019,3,24,19,9,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Offence Against a Person,2019,4,4,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,3,3,12,30,6XX PACIFIC BLVD,Central Business District,492165.93,5458264.56
Theft from Vehicle,2019,5,20,17,0,2XX ALVIN NAROD MEWS,Central Business District,491275.55,5457981.35
Offence Against a Person,2019,7,7,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,31,2,0,8XX W HASTINGS ST,Central Business District,491641.98,5459251.94
Theft from Vehicle,2019,4,20,21,0,8XX W HASTINGS ST,Central Business District,491641.98,5459251.94
Other Theft,2019,7,7,16,38,DUNSMUIR ST / GRANVILLE ST,Central Business District,491535.6,5458993.22
Theft from Vehicle,2019,5,13,0,0,7X W 12TH AVE,Mount Pleasant,492247.37,5456402.78
Break and Enter Commercial,2019,2,14,22,0,4XX E 16TH AVE,Mount Pleasant,493165.92,5455976.09
Other Theft,2019,6,2,13,31,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84
Other Theft,2019,2,11,14,38,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,27,16,0,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Vehicle Collision or Pedestrian Struck (with Injury),2019,1,16,22,48,OAK ST / W 67TH AVE,Marpole,490517,5450891
Theft from Vehicle,2019,7,8,17,0,8XX W KING EDWARD AVE,South Cambie,490951.65,5455150.17
Other Theft,2019,1,26,14,41,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Theft of Bicycle,2019,6,18,11,15,5XX BURRARD ST,Central Business District,491363.95,5459263.78
Mischief,2019,2,7,20,58,10XX W PENDER ST,Central Business District,491317.79,5459382.46
Vehicle Collision or Pedestrian Struck (with Injury),2019,1,15,17,33,KAMLOOPS ST / E BROADWAY AVE,Renfrew-Collingwood,496019,5456585
Other Theft,2019,3,9,19,33,9XX TERMINAL AVE,Strathcona,493902.91,5457453.33
Theft from Vehicle,2019,6,1,22,0,20XX WAVERLEY AVE,Victoria-Fraserview,495273.16,5452708.04
Other Theft,2019,1,22,12,46,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,20,15,35,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Offence Against a Person,2019,6,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,1,9,19,JOYCE ST / KINGSWAY AVE,Renfrew-Collingwood,497386,5453485
Mischief,2019,2,27,9,14,10XX W PENDER ST,Central Business District,491332.3,5459374.75
Theft of Vehicle,2019,7,1,17,45,46XX QUEBEC ST,Riley Park,492536.2,5454505.45
Offence Against a Person,2019,5,12,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,1,17,19,30,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,17,11,53,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,14,14,48,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Break and Enter Residential/Other,2019,4,3,7,13,21XX ADANAC ST,Grandview-Woodland,495521.17,5458301.24
Other Theft,2019,1,13,18,27,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,9,16,1,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Theft of Bicycle,2019,6,24,13,0,5XX BURRARD ST,Central Business District,491323.75,5459224.84
Theft from Vehicle,2019,1,14,7,40,8XX W PENDER ST,Central Business District,491504.95,5459237.12
Other Theft,2019,1,7,10,53,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,1,3,10,33,5XX W BROADWAY AVE,Fairview,491589.42,5456728.25
Other Theft,2019,3,18,13,38,23XX CAMBIE ST,Fairview,491637.21,5456826.57
Offence Against a Person,2019,3,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,4,1,18,48,23XX CAMBIE ST,Fairview,491637.21,5456826.57
Theft of Vehicle,2019,2,20,20,15,17XX W 62ND AVE,Marpole,489373.26,5451372.61
Vehicle Collision or Pedestrian Struck (with Injury),2019,7,18,11,54,JEPSON YOUNG LANE / DENMAN ST,West End,489801,5459515
Offence Against a Person,2019,5,26,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,1,5,18,50,7X W BROADWAY AVE,Mount Pleasant,492265.7,5456707.33
Other Theft,2019,4,12,1,0,7X W BROADWAY AVE,Mount Pleasant,492265.7,5456707.33
Vehicle Collision or Pedestrian Struck (with Injury),2019,6,12,21,59,ISLAND PARK WALK / ANDERSON ST,Fairview,490027,5457478
Mischief,2019,6,23,20,10,9XX W GEORGIA ST,Central Business District,491259.23,5459007.75
Other Theft,2019,3,1,20,52,9XX TERMINAL AVE,Strathcona,493902.91,5457453.33
Theft from Vehicle,2019,7,7,8,0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Mischief,2019,4,2,21,59,9XX W GEORGIA ST,Central Business District,491259.23,5459007.75
Other Theft,2019,4,4,12,0,23XX CAMBIE ST,Fairview,491637.21,5456826.57
Other Theft,2019,4,30,13,8,23XX CAMBIE ST,Fairview,491637.21,5456826.57
